blk,ccache,tcache,smp,intra,ccp,simd,mshr,dramq,inter,runtime
4,16,16,4,8,1,32,1,64,2,18805
4,16,32,1,1,1,16,1,32,10,28958
4,16,32,4,8,1,32,3,32,10,20372
4,16,128,2,4,2,32,2,64,6,18812
4,16,128,4,2,4,64,3,32,10,19988
4,16,256,8,8,2,32,1,64,2,18805
4,32,16,4,1,1,32,2,16,10,21414
4,32,16,4,1,8,64,3,32,6,20107
4,32,32,2,4,4,32,2,32,2,20458
4,32,64,1,8,2,32,3,32,10,21177
4,32,64,2,2,4,64,1,64,10,18619
4,32,128,8,1,2,64,1,16,2,21442
4,32,128,8,1,8,16,2,16,2,26970
4,32,128,8,4,8,64,3,64,6,18238
4,32,256,1,4,4,32,2,64,2,20043
4,32,256,2,2,4,64,1,16,10,20969
4,32,256,8,2,1,32,2,64,2,18957
4,64,16,1,8,1,32,3,64,10,20043
4,64,16,2,8,8,32,2,16,6,20753
4,64,32,4,1,1,32,2,32,2,20306
4,64,32,8,1,4,32,2,64,10,18975
4,64,64,4,2,1,32,1,16,2,20882
4,64,64,8,1,1,16,1,64,6,28976
4,64,256,1,1,4,16,2,32,10,28675
4,64,256,1,8,1,16,1,32,10,27846
4,64,256,1,8,1,64,1,16,10,21443
4,64,256,2,2,2,16,3,64,2,27783
4,128,8,4,1,4,64,3,64,6,18294
4,128,16,4,4,1,32,1,64,6,18812
4,128,64,4,2,2,64,1,64,6,17942
4,128,128,1,4,1,16,1,64,6,27856
4,128,256,2,1,1,32,2,16,10,21069
4,128,256,8,1,2,64,2,16,6,21442
4,128,256,8,1,8,64,3,32,10,20107
4,256,8,1,4,2,64,2,32,2,20619
4,256,8,1,8,1,32,3,64,2,20159
4,256,8,4,4,8,32,3,64,10,18805
4,256,16,1,8,8,32,1,32,6,21235
4,256,32,1,1,1,32,2,64,2,21103
4,256,32,2,1,1,64,3,16,2,21387
4,256,32,4,8,4,16,1,16,10,27889
4,256,32,8,4,4,64,1,16,10,20662
4,256,64,8,8,8,32,1,16,10,20753
4,256,128,1,2,4,16,1,32,10,25996
4,256,128,8,2,2,64,2,16,2,21313
4,256,256,4,2,4,32,1,64,6,18957
8,8,8,2,8,8,32,1,32,2,22637
8,8,8,4,2,8,32,3,16,10,23263
8,8,16,4,2,8,16,3,16,10,28175
8,8,32,2,8,8,16,1,32,2,28201
8,8,32,4,8,4,64,3,32,10,22305
8,8,32,8,2,4,16,3,32,6,28201
8,8,64,8,2,8,32,2,64,6,22587
8,8,128,1,4,2,64,2,64,6,22522
8,8,128,4,1,4,64,2,32,10,22746
8,8,256,2,8,1,32,3,32,6,22637
8,16,8,1,4,2,32,1,32,6,23096
8,16,8,2,8,8,16,3,32,6,28201
8,16,16,1,1,2,32,3,32,6,23125
8,16,16,8,1,8,16,1,16,6,29252
8,16,16,8,4,8,16,2,32,2,28203
8,16,32,1,8,8,16,3,16,6,28175
8,16,32,8,1,4,16,2,32,2,29328
8,16,64,1,2,2,16,1,64,6,28113
8,16,64,1,2,8,16,2,32,10,28201
8,16,64,4,4,1,32,2,16,2,23596
8,16,128,4,1,8,16,2,32,2,29299
8,16,128,8,4,4,16,3,16,10,28175
8,16,256,2,4,1,64,3,32,10,22579
8,16,256,8,8,1,64,2,32,2,22305
8,32,8,1,1,8,16,1,32,6,29328
8,32,8,8,8,8,32,1,16,2,23609
8,32,32,2,2,2,64,3,16,6,23054
8,32,32,4,8,4,16,2,32,10,28201
8,32,32,8,1,8,16,2,16,10,29259
8,32,64,2,1,2,64,2,64,2,21971
8,32,128,2,1,8,64,2,16,6,23488
8,32,128,4,1,2,32,1,32,10,25196
8,32,256,1,1,8,32,1,64,10,24197
8,32,256,2,4,4,32,2,16,6,23596
8,32,256,8,4,4,16,1,16,6,28175
8,64,8,1,1,2,64,2,64,2,22313
8,64,8,8,1,8,16,1,32,10,29299
8,64,8,8,8,1,16,3,16,10,28176
8,64,16,4,2,4,64,3,16,6,23186
8,64,32,2,4,1,32,2,32,6,22637
8,64,32,4,2,8,64,2,64,2,21658
8,64,64,4,1,4,16,2,32,10,29299
8,64,128,1,1,4,64,3,16,10,24359
8,64,256,1,2,4,32,1,64,6,23510
8,128,8,8,1,2,32,2,32,10,25196
8,128,16,4,8,4,32,2,16,10,23596
8,128,64,2,8,2,64,3,32,2,22416
8,128,128,1,4,1,16,2,16,6,28175
8,128,128,2,8,1,16,2,32,10,28201
8,128,128,8,8,1,64,2,32,2,22107
8,128,128,8,8,4,32,2,64,2,22279
8,128,256,8,1,4,64,3,32,2,22872
8,128,256,8,1,8,16,2,64,2,31890
8,128,256,8,8,4,64,2,16,6,22770
8,256,8,2,2,4,64,3,64,2,21744
8,256,8,4,1,4,32,2,64,6,22627
8,256,8,8,2,4,64,1,64,2,21658
8,256,16,1,4,1,64,3,16,2,23797
8,256,32,4,2,1,32,2,32,2,22776
8,256,32,4,4,8,16,2,16,10,28175
8,256,32,4,4,8,64,3,16,2,22852
8,256,32,8,8,4,64,2,64,6,21594
8,256,64,2,4,1,16,1,32,6,28201
8,256,64,8,1,8,32,2,32,6,25370
8,256,128,1,1,4,16,3,64,2,31890
8,256,128,2,8,2,64,2,64,10,21804
8,256,128,4,1,8,64,3,64,2,21886
8,256,256,2,1,2,16,2,32,10,29328
16,8,8,2,4,8,16,3,32,10,25523
16,8,8,8,2,8,16,3,64,2,25566
16,8,16,1,2,4,64,3,32,6,20355
